일식|68789790zi|몽키스일식 관악구점|010-4569-1544|광주시|관악구|역삼 1동|대기|null
중식|892786077wx|아재중식 강동구점|010-1815-3366|서울시|강동구|청담동|거절|null
피자|852698101844|영구스피자 서초구점|010-0835-2530|울산시|서초구|논현 2동|거절|null
한식|96850270qwsa|지수네한식 양천구점|010-6041-8002|인천시|양천구|논현 1동|거절|null
한식|107496426534|양평한식 양천구점|010-2634-5084|대구시|양천구|개포 2동|거절|null
일식|181126876604|코바코일식 동대문구점|010-5084-6803|부산시|동대문구|도곡 2동|대기|null
중식|71004901337|효동각중식 강남구점|010-5713-8501|광주시|강남구|일원 1동|대기|null
피자|30667177540|파파존스피자 강남구점|010-1146-5569|울산시|강남구|일원 1동|대기|null
한식|162408929290|행운한식 강남구점|010-5598-1675|인천시|강남구|도곡 1동|거절|null
치킨|162930178udt|듀오치킨 광진구점|010-1765-0206|울산시|광진구|일원 본동|대기|null
일식|7103206827iq|카츠젠일식 동작구점|010-9464-8070|울산시|동작구|논현 1동|거절|null
피자|98289222078|도드람피자 마포구점|010-8889-3059|울산시|마포구|대치 3동|거절|null
일식|482846628drk|코바코일식 금천구점|010-3589-4063|서울시|금천구|청담동|거절|null
한식|023328781dh|지수네한식 금천구점|010-5494-5069|대전시|금천구|청담동|대기|null
한식|0688198282vi|전주한식 은평구점|010-3091-4359|부산시|은평구|삼성 2동|거절|null
중식|77612581yls|용문각중식 동대문구점|010-9840-4468|대전시|동대문구|대치 2동|대기|null
중식|15870450314i|아재중식 양천구점|010-3214-7232|광주시|양천구|논현 1동|거절|null
피자|417832496776|임실피자 노원구점|010-0312-3216|대구시|노원구|논현 1동|대기|null
한식|32153724fuii|별난한식 마포구점|010-6229-0678|서울시|마포구|대치 2동|대기|null
한식|82228628mp|전주한식 은평구점|010-1285-0206|광주시|은평구|도곡 1동|거절|null
한식|963146927xi|영칼로리한식 서대문구점|010-0723-0371|대전시|서대문구|역삼 1동|거절|null
치킨|00324669srs|네네치킨 강동구점|010-6268-3248|서울시|강동구|일원 2동|거절|null
치킨|6901936560ba|굽네치킨 동대문구점|010-8911-6617|광주시|동대문구|도곡 1동|대기|null
중식|7184294432b|맛있는중식 서대문구점|010-9126-2681|인천시|서대문구|삼성 2동|거절|null
치킨|14375475xee|60계치킨 강서구점|010-3092-7585|대전시|강서구|논현 2동|거절|null
치킨|1335104127|호식이치킨 성북구점|010-9826-1226|광주시|성북구|삼성 2동|거절|null
한식|307253646364|천호동한식 도봉구점|010-0462-0137|대구시|도봉구|개포 2동|거절|null
한식|109449376460|착한한식 서초구점|010-9786-9085|부산시|서초구|개포 1동|거절|null
치킨|34832632138|호식이치킨 양천구점|010-8266-9866|울산시|양천구|대치 1동|대기|null
일식|360130703488|야미가일식 강북구점|010-1506-5420|부산시|강북구|삼성 1동|거절|null
일식|462538163671|사월의일식 도봉구점|010-6756-0009|서울시|도봉구|논현 1동|대기|null
중식|44494891363|맛있는중식 송파구점|010-3508-8098|대구시|송파구|개포 4동|거절|null
치킨|355958731rs|교촌치킨 성동구점|010-3072-3003|울산시|성동구|개포 2동|거절|null
한식|00033743382d|지수네한식 은평구점|010-9725-9870|울산시|은평구|일원 1동|거절|null
한식|34546540104|착한한식 양천구점|010-9990-7969|인천시|양천구|도곡 2동|거절|null
중식|8901257256f|유성중식 강동구점|010-0752-5283|부산시|강동구|삼성 2동|대기|null
중식|26188559gt|왕짜장중식 광진구점|010-2396-4649|대전시|광진구|삼성 1동|대기|null
중식|03225621riw|왕짜장중식 구로구점|010-8121-0609|대구시|구로구|개포 2동|거절|null
일식|54290118719w|석촌일식 성동구점|010-8440-3057|광주시|성동구|일원 1동|대기|null
중식|232231634409|산동중식 종로구점|010-6296-4769|대전시|종로구|대치 1동|대기|null
피자|365390371052|남자피자 용산구점|010-6640-9392|인천시|용산구|도곡 2동|대기|null
중식|0925156750|명가손중식 종로구점|010-7262-8756|인천시|종로구|논현 1동|대기|null
치킨|86604922193n|네네치킨 강북구점|010-7300-5121|광주시|강북구|일원 1동|거절|null
한식|56629641zr|천호동한식 중구점|010-3847-1844|광주시|중구|도곡 2동|대기|null
일식|780983066305|카츠젠일식 강북구점|010-3805-7552|대전시|강북구|논현 1동|거절|null
치킨|941943863l|BBQ치킨 동대문구점|010-6549-7056|대구시|동대문구|역삼 2동|거절|null
