Sa1|912195407312|하늘한식 구로구점|02-072-3341|울산시|구로구|일원 2동|22
Sa2|50707663mz|전주한식 용산구점|02-748-3357|서울시|용산구|대치 2동|75
Sa3|61925473055i|지수네한식 강동구점|02-662-2069|부산시|강동구|도곡 1동|19
Sa4|39156840yx|항아리한식 송파구점|02-360-4458|대전시|송파구|대치 2동|63
Sa5|5224575363dz|전주한식 은평구점|02-558-2933|부산시|은평구|청담동|63
Sa6|84679792ksi|천호동한식 서대문구점|02-113-0249|서울시|서대문구|역삼 2동|99
Sa7|9022218280zv|지수네한식 광진구점|02-707-9498|대전시|광진구|일원 2동|11
Sa8|64490103086k|지수네한식 동작구점|02-169-4041|대구시|동작구|일원 본동|11
Sa9|14048994vtyo|영칼로리한식 성동구점|02-412-7619|대구시|성동구|대치 2동|62
Sa10|9397662317ly|전주한식 송파구점|02-619-7822|서울시|송파구|대치 2동|12
Sa11|747951503cjk|지수네한식 노원구점|02-318-6623|대구시|노원구|도곡 1동|37
Sa12|90219268098b|항아리한식 은평구점|02-860-8573|대구시|은평구|일원 1동|5
Sa13|466885768845|양평한식 광진구점|02-444-8655|부산시|광진구|도곡 2동|98
Sa14|06880183139|항아리한식 마포구점|02-609-1969|대전시|마포구|개포 4동|47
Sa15|264300950058|행운한식 은평구점|02-662-7198|대전시|은평구|개포 2동|98
Sa16|74006412489|별난한식 서대문구점|02-817-6977|서울시|서대문구|논현 2동|78
Sa17|717101857514|영칼로리한식 성동구점|02-456-8628|광주시|성동구|일원 2동|47
Sa18|349958968xu|별난한식 동대문구점|02-087-1738|인천시|동대문구|대치 2동|100
Sa19|789672262jg|양평한식 강동구점|02-200-9449|대구시|강동구|논현 2동|88
Sa20|89744907fcse|천호동한식 노원구점|02-392-9275|부산시|노원구|논현 2동|70
Sa21|634411871ruz|영칼로리한식 서초구점|02-178-3818|서울시|서초구|개포 2동|75
Sa22|2399390216|전주한식 서대문구점|02-722-2007|대구시|서대문구|역삼 2동|43
Sa23|854411123567|영칼로리한식 관악구점|02-444-5361|대구시|관악구|개포 4동|66
Sa24|24218804062u|행운한식 용산구점|02-074-2595|대전시|용산구|대치 3동|62
Sa25|744692650pp|항아리한식 도봉구점|02-804-6824|대전시|도봉구|개포 1동|53
Sa26|492914087261|착한한식 노원구점|02-481-8677|광주시|노원구|삼성 1동|31
Sa27|3625953785|지수네한식 강동구점|02-490-7636|서울시|강동구|청담동|5
Sa28|877489512765|하늘한식 동대문구점|02-265-3361|서울시|동대문구|역삼 1동|2
Sa29|830079381os|착한한식 광진구점|02-252-4862|울산시|광진구|일원 2동|39
